part_number,manufacturer,price_field,quantity_field
0,834,817.61,38342
4,834,706.01,38346
7,84K,219.61,2950580
7,84N,576.01,3900780
9,01F,932.91,8761680
9,01H,275.41,8761680
9,01J,683.51,2854980
6,01K,473.01,993080
2,01L,82.11,2962980
4,01L,975.41,2962980
5,01L,119.11,6876080
1,01N,250.51,2854980
6,01N,651.01,6876080
7,01N,458.51,8154180
0,123,291.21,51237
4,123,322.11,4633580
5,133,551.82,51390
4,136,339.52,51390
6,136,358.42,51391
8,136,723.72,51378
9,136,969.01,4617680
5,138,172.11,4617680
2,139,452.01,51397
8,139,199.41,4617680
0,13C,238.51,4617680
3,13C,518.41,513
6,13C,508.61,5778480
7,13C,354.11,5130
8,13C,801.61,3702580
5,13E,301.81,5103580
7,145,67.72,51485
4,147,272.61,978780
6,148,17.01,51492
0,149,550.01,9598980
2,14A,270.21,978780
8,14A,881.71,9598980
1,14C,321.51,1128180
2,14C,51.71,9598980
5,14C,51.11,5440180
8,14C,884.41,4085980
0,14E,484.91,5140000
3,14E,429.91,5140000
9,15S,636.41,7608180
1,15T,833.51,7608180
2,15T,577.71,3855180
2,15V,155.71,197880
0,15W,538.51,1547280
9,164,131.01,51660
1,166,9.42,51600000000
2,166,110.32,516000000000
3,16A,189.91,2800780
4,16A,235.71,51660
5,16K,61.41,1275880
5,16L,169.51,2800780
8,16L,115.41,6466680
9,242,95.91,1141080
1,32P,278.11,9086280
8,32P,839.21,1312380
3,32T,405.01,982980
8,357,123.71,53590
4,359,401.01,200508
2,373,495.31,53748
1,374,108.61,200826
3,374,93.01,200826
6,374,34.11,53754
7,374,20.91,53740
1,375,24.81,53760
2,375,20.91,203707
4,375,44.31,2800980
5,375,32.11,53766
8,375,23.41,53760
7,376,34.11,1257580
9,376,17.51,1257780
0,037,997.31,60377
2,039,542.31,8566280
6,039,734.61,8526580
0,03A,947.91,5941480
4,03A,890.61,8526480
0,03C,356.21,8566280
0,03E,436.61,5941480
1,03E,561.21,8526580
2,03E,329.31,8526480
A,06A,273.91,9286180
T,06A,990.11,1145880
8,06Q,935.41,3980380
8,06S,199.81,9286180
0,06T,691.21,9286180
5,06X,401.31,8034380
9,06X,436.11,9286180
0,06Y,723.21,1145880
1,06Y,690.01,9434480
2,06Y,381.21,8075780
4,06Y,534.71,1128380
6,06Y,510.91,3383480
7,075,115.41,60756
4,076,72.11,8850680
7,076,33.61,8850680
8,076,33.61,8850680
0,077,77.91,9086980
5,091,302.01,1859280
8,274,148.31,62754
9,274,844.41,62755
0,276,131.21,62779
1,276,131.21,6633780
6,276,160.61,62780
0,277,542.61,1257680
1,277,988.71,62779
2,277,844.41,8298980
3,277,844.41,8299080
4,277,904.31,8299180
8,277,844.41,8299580
1,28T,767.71,1729180
3,28V,775.51,8982180
7,28V,186.31,6439380
8,28V,811.21,7373680
9,28V,311.71,1728980
4,28W,566.11,1730080
5,28W,593.31,6439380
1,28X,294.91,8982180
2,28Y,313.81,1728980
7,302,15.11,63026
4,303,16.61,8613680
5,303,23.41,3937280
3,40N,196.61,64031
5,40Q,957.01,4156580
2,40S,617.01,4156580
4,40T,476.71,6492280
6,40T,411.91,111180
7,40W,2.31,6492280
V,01C,144.71,7307780
W,01C,515.51,6406580
A,01E,421.91,3667980
L,01E,532.62,9598680
N,01E,11.82,9598680
C,01F,93.41,2802480
L,01L,639.01,3667980
2,059,636.41,80500
5,05E,752.01,698080
7,05G,902.31,2094080
5,05H,966.41,2802580
6,05H,948.21,2802680
1,05K,976.31,2802580
3,05K,517.11,2802680
7,05K,86.11,1800080
7,064,148.11,80658
9,064,70.61,2801980
1,065,386.21,80673
2,065,226.51,80667
9,065,355.01,80673
0,066,194.81,80667
2,066,33.61,80676
5,066,91.11,80675
8,066,19.51,80677
9,066,16.61,80678
0,073,819.71,23675
7,073,362.81,80739
9,169,199.41,81600000
0,16E,981.71,9304780
1,16H,824.41,1547580
6,16H,932.81,9304780
9,16H,185.31,2827180
2,16J,131.71,2827080
3,16J,786.01,8462180
8,16J,232.81,9894480
3,16K,430.11,1547580
9,16K,859.31,4846880
3,182,877.31,81832
4,182,952.01,81832
6,182,858.51,5777680
8,182,572.21,5805980
9,182,407.61,6058680
4,183,206.01,81840
5,183,180.21,81841
8,183,887.31,1423880
4,184,902.31,7311580
9,201,64.81,513299
2,202,27.31,692231
9,220,945.31,3212980
7,273,21.41,80655
9,292,254.31,82954
2,295,66.61,82974
6,296,796.02,82996
1,297,824.52,82987
2,299,183.81,82996
1,29A,723.11,83062
9,29A,897.81,6931980
0,29C,287.71,4121580
1,29C,1.31,1549480
0,29E,368.21,5805880
1,29E,357.81,4831480
4,29E,61.61,1273180
5,29E,389.31,1432380
6,29E,602.01,7046480
7,29E,590.71,627080
0,29G,287.71,4121580
3,29G,541.91,4831480
5,29G,914.21,8690680
9,29G,148.11,4831680
0,302,986.11,83061
3,302,131.51,83044
6,302,851.01,83058
7,302,851.01,83059
8,302,236.41,83063
7,303,288.51,83063
0,304,90.61,81832
6,304,381.01,83063
2,305,176.21,83060
3,305,641.91,83058
4,305,641.91,83059
0,307,269.81,7425180
1,307,35.11,6632880
2,307,740.11,83074
2,31L,163.11,3637980
6,31L,954.81,3638180
8,31N,796.11,4581080
0,31P,579.11,8462180
9,31P,999.81,4581080
1,31Q,730.61,8747480
9,31R,853.71,3637980
1,31V,971.01,3638180
7,31V,600.81,8747680
8,31V,900.71,3216880
9,31V,447.51,2782480
2,31W,623.51,8747480
3,31W,273.71,8747680
1,492,752.61,84922
9,035,876.21,90364
1,03H,349.01,1127080
9,03H,368.51,9597280
7,03J,703.31,9597280
9,03J,455.71,9597280
7,044,754.91,1472380
0,082,68.71,90821
4,111,4.91,5145280
1,243,472.31,2771180
4,423,631.51,94247
0,424,875.21,94245
2,424,781.71,94253
6,424,61.21,94248
6,425,4.21,94248
7,425,948.71,4102980
9,425,5.71,3133580
1,426,225.81,6518980
3,426,68.51,4509880
4,426,20.81,5041780
5,426,975.51,7835480
6,426,5.71,6368680
9,426,986.21,5041880
0,427,110.91,4514480
1,427,975.51,7834780
2,427,802.61,4508480
6,428,776.81,1126880
4,42G,644.31,379280
6,485,907.31,94887
2,48A,137.21,9480000000
9,48A,476.31,948
2,48E,227.81,4299080
5,48E,82.61,6718180
6,48E,558.61,5708880
2,48F,508.31,3965080
8,48G,511.41,7409580
0,48H,733.91,7409580
8,49C,766.91,3493580
3,49E,993.51,5709680
7,49E,951.51,3866580
5,49F,671.01,6979080
1,49G,629.11,949000000
2,49G,504.41,2111580
3,49G,712.91,1257880
6,501,32.11,95020
8,514,119.81,1731980
0,52C,126.11,952000
6,52C,201.11,5818380
8,52C,261.51,1143280
9,52C,274.21,95200
6,52E,86.21,7425680
9,561,48.21,95628
2,562,15.11,7427280
0,563,119.31,7427280
8,565,51.61,95663
0,566,610.11,98880
0,015,919.12,5020680
0,01A,630.21,1001
2,01A,519.61,5211380
3,01A,431.71,100100000
8,01C,726.21,100100000
9,01C,83.01,5020680
3,01E,633.31,100191
1,01F,313.32,7328080
9,01F,491.31,4737680
3,01G,199.71,7328080
7,01G,458.91,6466880
4,111,39.02,101105
7,130,303.91,101309
8,130,277.11,101309
1,185,383.12,101869
2,185,397.82,101870
4,185,731.42,101857
9,185,20.61,5211380
3,188,768.91,8328780
0,193,59.41,101934
1,221,325.81,102214
8,232,601.01,9881080
4,241,41.31,4583680
6,330,32.51,103319
6,331,950.71,103318
3,03L,795.41,152980
7,03P,553.71,4374980
9,03P,914.11,3571980
1,03Q,338.81,8866680
3,03R,84.21,4376280
6,03R,919.31,5873580
1,03S,771.51,8933480
4,03S,303.01,152980
5,03S,910.61,4375080
6,03S,144.11,4375780
8,03S,714.91,4374580
3,03T,958.51,152980
5,03T,768.51,4374580
4,043,182.61,110437
1,045,194.81,8933380
F,09A,363.71,6267580
H,09A,459.31,8914980
R,09A,565.91,8076280
S,09A,99.71,6267480
T,09A,84.61,1144580
Z,09A,459.31,6399880
H,09C,198.11,6267480
K,09C,451.51,8914980
8,09K,375.01,8076280
3,09Y,541.11,6399880
5,09Y,109.91,6267480
7,09Z,323.21,6267580
9,31J,643.81,6996480
7,31K,882.51,6996480
8,31K,319.81,2152780
517,514,77.41,109380
846,546,258.11,236880
868,546,33.61,165780
008,547,87.71,162680
763,561,62.31,713580
007,570,58.41,713680
015,570,55.51,172880
172,570,39.01,66880
273,570,58.91,218880
608,609,162.71,53980
588,610,327.31,48927
908,610,78.91,50880
966,610,58.41,237380
265,611,48.71,51380
5,643,291.22,116446
4,644,956.51,116446
8,644,834.11,116450
1,645,958.51,6838180
3,652,697.91,116525
0,653,240.61,789380
7,71L,428.61,3141180
3,71P,79.71,4225480
8,71Q,960.91,4225480
0,71R,879.61,8012380
4,71R,195.11,4225480
7,71R,876.21,8012380
2,744,706.21,117487
8,744,230.81,117461
2,745,751.51,11740
5,745,852.81,1174000
7,745,773.41,117487
8,745,367.71,117475
0,746,829.41,117400
7,746,225.81,117476
1,747,226.51,117485
4,747,85.91,1174
8,747,817.21,11740
9,747,194.81,117489
8,749,587.31,1174000
9,749,784.61,1174
0,74A,611.21,117400
4,74A,465.61,779480
0,74G,562.01,779180
6,74G,646.81,7993580
1,74H,531.81,7993580
4,784,329.81,117845
6,784,396.91,117860
0,785,303.41,117866
3,785,425.41,5874480
7,785,348.81,7659780
9,785,489.01,117860
1,786,935.81,7659780
8,786,569.31,6621480
1,787,664.81,1330480
8,791,849.61,4156980
3,792,74.51,117912
1,807,219.21,118078
2,80G,412.01,4156680
9,80T,382.21,7169780
6,81S,48.71,6312680
8,015,424.21,12010000
7,019,354.01,1253180
3,01C,779.21,1622180
4,01C,538.71,9402380
1,01E,73.11,9417480
5,01E,459.51,4998180
8,01E,663.91,9402180
3,01F,941.61,9417480
4,01F,941.61,9417480
5,01F,992.71,9417480
9,01F,132.02,9417380
0,01G,399.91,9417080
1,01G,128.12,4447980
2,01G,224.11,9417180
4,01G,538.21,9417480
5,01G,940.01,9417480
8,01G,252.71,9417380
9,01G,617.41,4447980
0,01H,322.82,4299180
7,01H,981.71,278080
8,01H,443.91,1573380
9,01H,836.11,6790780
0,01J,495.52,4299180
1,01J,853.91,9417480
2,01J,853.91,9417480
5,01J,820.51,3221780
6,01J,646.21,278080
8,01J,926.41,6790780
1,01K,853.91,9417480
2,01K,330.61,3518580
6,01K,950.12,4299180
8,01K,807.01,4447980
1,01L,500.41,4299180
2,01L,272.61,9417480
3,01L,620.71,4299180
4,01L,135.01,6790880
8,01L,926.41,6790780
9,01L,334.31,4057480
0,01N,412.61,6790780
1,01N,386.61,6790780
2,01N,829.61,6790880
1,031,98.41,3653680
4,043,266.71,120445
4,044,592.61,120445
7,044,346.11,120459
8,044,460.31,120456
2,045,201.11,2827580
3,045,482.71,120456
3,06C,90.11,1206
4,06E,235.21,1550380
3,072,687.21,1201000
5,072,424.21,1201000000
8,50G,653.61,1210080
9,50G,653.61,5672280
0,50H,653.61,1896380
1,50H,546.51,1210180
2,50H,682.91,1896380
4,50H,0.11,1210080
9,50H,953.51,5672280
0,50J,542.71,1210180
1,50J,890.81,4058180
3,50J,859.71,1896580
1,53E,115.11,12530000
2,53E,450.21,1253000000
0,53H,789.61,781580
5,53H,531.61,1666680
6,53H,250.61,2028580
4,53K,508.11,8719880
2,53P,762.61,1896480
3,53P,492.81,4157180
4,53P,419.71,4057580
5,53P,382.31,6307480
9,53P,705.01,781580
0,53Q,705.01,1666680
9,53Q,524.31,6307580
3,53R,834.71,6307580
4,53R,705.01,4778380
672,566,427.81,25990
183,620,156.51,20706
150,633,761.11,2731
111,636,684.81,21172
146,639,384.31,71008
460,646,295.91,91202
620,671,697.71,14453
3,676,362.31,1267000
4,67J,615.61,7870080
6,67J,821.91,7870080
813,686,282.01,47790
093,693,388.41,4450
695,711,884.41,19250
569,718,879.71,29606
355,780,68.01,306880
3,800,892.71,128055
4,801,769.51,128056
5,802,34.91,128059
8,803,745.61,128062
0,804,401.31,128063
5,804,324.71,128066
6,804,71.41,128067
8,804,309.11,3568980
0,805,115.81,3568980
2,805,326.21,128066
4,806,100.21,128067
5,806,386.51,3568980
1,01P,393.92,133073
6,01Y,815.31,9537880
9,01Y,50.72,9537880
5,069,485.11,13060000000
4,06F,244.81,7834980
1,06J,757.31,9680180
Y,07G,432.71,132396
Q,07L,444.72,132311
T,07N,69.02,132316
A,07Q,397.32,132306
J,07Q,706.21,132300
W,07V,336.91,132373
Z,07V,835.22,132314
K,07W,428.12,132311
X,07Y,755.41,132300
N,08A,833.32,1739780
E,08C,752.01,1826080
L,08C,645.22,143880
N,08C,857.52,143880
P,08C,663.72,9220580
W,08C,275.01,143880
A,08E,969.01,9220580
9,12A,382.21,1312000000000
0,12F,136.91,6636080
010,142,75.51,112080
3,17T,976.01,4896880
4,17T,774.91,4896880
N,17T,792.91,4896880
S,17T,922.41,4896880
Y,17T,986.21,7249480
Z,17T,643.81,5906380
1,17V,814.31,7355280
0,17W,565.91,1174680
1,17W,111.41,1174680
6,19S,64.31,1209980
6,232,179.71,132332
0,235,281.01,132348
T,23C,711.41,2715480
H,23H,363.31,7608280
E,23J,910.21,9087080
F,23J,262.51,1681180
Y,23J,270.01,7207680
E,23K,122.81,7176880
644,249,770.01,18730
412,260,73.51,82780
358,263,287.81,19387
862,264,56.51,224980
113,267,704.21,740280
599,287,979.11,8912
7,300,771.72,133052
1,304,677.01,133058
2,304,957.51,133058
2,307,732.51,1330000
136,308,563.41,95116
2,308,472.82,5996080
2,30B,731.02,132322
7,30C,90.72,133045
1,30E,819.82,133058
2,30E,957.52,133058
4,30F,268.71,5996080
2,30K,198.81,133392
7,30N,596.71,5996080
0,30T,963.01,8998080
1,30V,853.71,8998080
6,30W,58.81,8997980
5,30X,678.81,6661980
235,311,321.91,83180
236,311,317.11,83280
320,312,889.31,62875
238,313,165.01,38333
Z,31C,231.92,8280
K,31F,528.11,133331
A,31G,262.52,8280
G,31H,176.31,9537880
E,31J,502.61,133345
C,31K,561.12,8180
F,31K,582.72,8180
R,31K,861.21,133370
V,31K,585.51,133366
C,31L,743.11,133367
E,31L,262.52,133320
S,31L,734.52,8180
W,31L,754.21,9537580
8,31N,415.61,133335
C,31P,475.42,133315
E,31P,734.52,133383
4,31Q,753.81,133348
3,31S,528.11,133336
9,31S,477.21,9537580
W,31S,60.02,133315
Y,31S,734.52,133317
Z,31S,251.72,9537680
2,31T,973.61,9537580
A,31T,86.02,133381
G,31T,158.31,9537580
H,31T,602.21,9537580
K,31T,52.72,8280
L,31T,352.72,8280
N,31T,979.82,133327
P,31T,262.52,133320
Q,31T,502.42,133324
R,31T,262.52,8280
S,31T,577.71,133395
V,31T,303.51,133395
A,31V,189.92,9537680
5,31X,920.92,133324
8,31X,979.82,133327
5,31Y,811.02,8280
W,31Z,234.81,9537880
202,327,55.51,44880
1,330,813.92,8280
2,330,564.02,133047
5,330,123.02,133320
7,330,457.71,8180
8,330,578.71,133387
9,330,334.71,133383
1,331,585.32,133327
2,331,588.22,133324
3,331,906.71,8280
4,331,422.82,8280
6,331,942.81,133315
8,331,485.32,8180
1,332,135.01,9537680
2,332,365.91,9537680
3,332,353.51,133381
5,332,243.01,8180
8,332,870.71,8280
4,333,203.71,8180
8,333,851.91,133387
9,333,744.81,133381
0,334,851.91,133393
1,334,813.91,133393
2,334,299.01,133387
3,334,796.41,133388
1,335,998.01,133327
3,335,896.11,133386
5,335,486.31,8180
1,336,530.61,133374
2,336,88.11,133374
5,336,482.51,133395
3,337,192.81,133315
6,337,476.71,133398
7,337,158.71,133387
8,337,681.91,133383
0,338,185.71,133386
4,338,924.31,133315
5,338,200.11,133315
4,339,571.51,133393
7,339,931.81,9537680
6,33A,533.02,8280
542,342,73.61,2866
835,348,144.01,30681
333,354,955.71,32860
566,354,71.61,208180
567,354,51.61,208080
713,356,22.91,155580
357,362,378.11,51016
874,366,155.51,16770
J,36A,931.41,4111880
S,36A,8.31,3648780
8,36C,98.41,134062
C,36C,66.12,8647080
E,36C,398.91,8646980
P,36C,133.81,8647280
3,36V,670.81,408880
0,36Y,168.51,3125880
6,36Z,132.91,916980
8,36Z,157.71,916880
053,370,460.41,19318
151,373,855.11,34383
877,377,39.01,186980
4,384,770.01,133811
5,386,434.21,133898
3,388,691.61,133837
7,38A,485.91,6777180
8,38E,44.51,2425380
4,38G,364.51,3253280
534,396,557.21,72733
075,400,485.11,46669
076,400,585.41,46670
745,402,564.01,511880
9,404,54.11,134060
244,406,40.01,59423
399,406,551.21,2179
619,406,407.61,34813
9,406,7.31,692254
4,409,525.01,7016980
837,412,50.21,268780
882,416,960.21,17476
475,417,345.91,16881
649,417,753.81,79444
1,41J,978.31,356280
3,41K,320.81,226480
9,420,46.31,692273
661,433,697.61,44000
K,43F,478.71,134226
P,43H,570.31,135203
V,43H,509.91,134226
S,43L,491.91,9059080
407,441,162.51,91480
750,457,515.71,531480
751,457,515.71,531280
778,461,284.11,339280
935,463,403.61,506580
213,465,458.61,248280
205,468,760.41,787880
206,468,760.41,732580
439,471,18.81,28741
836,471,653.61,337880
245,476,658.31,572480
490,476,479.61,23590
180,477,653.11,571980
130,478,605.41,723680
269,478,238.61,227480
959,478,352.61,349180
217,506,74.51,81380
141,516,89.61,82680
515,517,690.21,4934080
768,517,798.91,565080
679,519,746.11,73880
Y,51L,450.51,5555680
F,51N,600.51,135201
Q,51P,304.21,135204
R,51P,522.11,135219
V,51P,461.71,135205
W,51P,878.41,135241
L,51S,621.91,135209
Q,51S,671.11,135214
A,51W,295.81,3042480
P,51W,591.21,320280
452,522,789.81,566880
8,522,306.71,135244
9,523,465.81,187380
6,524,568.42,4414180
5,525,459.01,187380
955,537,968.91,237180
8,550,616.61,135511
3,551,86.21,121003
834,577,72.31,92115
903,578,680.41,75403
065,579,642.71,92132
297,582,411.01,82298
776,586,809.61,92132
628,587,438.41,91310
301,588,157.01,12748
287,591,462.51,13515
564,595,641.71,12294
4,06E,889.51,1406000000
6,20K,517.92,986780
1,20L,273.92,986780
4,20N,189.21,986780
0,20P,653.61,408380
0,20Q,803.61,986780
7,20Q,856.01,986780
3,20R,180.11,1210280
9,20R,810.21,1126380
8,20S,335.21,1210280
9,20S,795.71,1126380
6,21E,295.01,144044
7,21E,4.61,142100000000
4,22A,990.01,3159380
1,23E,735.41,14230000000
C,261,741.61,144087
E,261,864.92,144016
H,261,473.22,144019
S,261,108.52,144021
K,264,957.52,144016
4,341,452.01,143434
8,342,459.31,143449
9,342,830.12,143461
5,343,830.12,143461
4,344,435.31,143464
7,344,283.01,143495
3,345,432.71,14340
7,345,343.31,143484
8,345,504.71,143484
9,348,790.31,143498
9,34A,560.51,143400
7,34C,383.01,8043580
2,34G,855.11,7815380
8,34G,557.01,7398780
0,34H,989.01,7815380
8,34H,416.11,7398780
6,34J,190.41,1583380
8,361,322.41,7678480
2,36A,166.61,14360000000
6,36G,372.11,408480
1,36P,44.31,694777
4,36W,146.11,316780
4,393,94.01,144636
6,393,67.21,143940
7,393,735.11,143939
69880,401,2.01,236780
69980,401,713.01,236680
78680,401,537.41,187880
03480,402,836.51,203280
03580,402,906.61,203380
03880,402,874.21,230080
19880,402,607.61,9685580
4,402,150.01,38353
40580,402,104.11,250780
03480,403,533.31,746688
5,404,355.81,142100000000
7,404,934.01,38352
7,406,471.31,408280
6,40K,412.51,8730080
1,40L,511.81,8999980
2,40N,178.01,4514980
7,40N,809.91,408280
2,40T,929.11,14400000000
0,420,208.61,144207
1,420,950.91,144207
T,44Q,569.21,6402680
Q,44S,910.61,6402680
R,44S,642.21,9949480
